Dist Code,Year,State Code,State Name,Dist Name,yield_kg_per_ha,rainfall_kharif_mm,rainfall_anomaly,tmax_kharif_mean_c,tmin_kharif_mean_c,temp_kharif_mean_c,temp_anomaly,extreme_heat_days,extreme_heat_anomaly,max_dry_spell_days,dry_spell_anomaly,rice_irrigated_area_1000ha,irrigation_share,lagged_yield,rice_area_1000ha
545,2011,9,Punjab,Mansa,3946.0,354.18677,0.65382946,34.899539947509766,24.003461837768555,29.451499938964844,-0.0954049961355911,53,-1.4784406993970538,44,0.1695272938068019,73.92,0.9989189189189189,4051.0,74.0
545,2012,9,Punjab,Mansa,4115.0,434.29233,1.2777754,35.976600646972656,24.29150390625,30.134052276611328,1.496713762957955,77,0.0967204195867231,43,0.1059545586292511,77.92,0.998974358974359,3946.0,78.0
545,2013,9,Punjab,Mansa,4123.0,232.39914,-0.29478005,35.4679069519043,24.52915000915528,29.99852752685547,1.1805892923396784,81,0.3592472727506859,39,-0.148336382080952,81.09,1.0,4115.0,81.0
545,2014,9,Punjab,Mansa,3610.0,136.0329,-1.0453812,36.48160552978516,24.122865676879883,30.302234649658203,1.8890152705611467,102,1.7375132518614909,32,-0.5933455283238076,82.18,1.0,4123.0,82.0
545,2015,9,Punjab,Mansa,3903.0,145.22963,-0.9737474,35.63663101196289,23.669925689697266,29.65327835083008,0.3752624926294058,91,1.015564405660593,39,-0.148336382080952,92.6,0.9956989247311827,3610.0,93.0
545,2016,9,Punjab,Mansa,4291.0,206.38284,-0.49742216,36.021175384521484,24.40384864807129,30.212512969970703,1.6797308516982572,96,1.3437229721155466,62,1.3138365270027164,103.03,1.0,3903.0,103.0
545,2017,9,Punjab,Mansa,4664.0,202.76476,-0.52560365,35.88811492919922,24.008190155029297,29.94815254211425,1.0630848113322768,100,1.6062498252795094,59,1.123118321470064,107.19,1.0,4291.0,107.0
545,2018,9,Punjab,Mansa,4431.0,236.13654,-0.2656693,35.37495422363281,23.850799560546875,29.612876892089844,0.2810222171116738,77,0.0967204195867231,37,-0.2754818524360536,116.283,1.0,4664.0,116.0
545,2019,9,Punjab,Mansa,4109.0,211.08543,-0.46079347,35.726314544677734,24.35127830505371,30.038795471191406,1.2745181327102846,77,0.0967204195867231,28,-0.8476364690340108,118.691,0.9974033613445379,4431.0,119.0
709,1990,8,Orissa,Mayurbhanja,1043.0,1497.2039,0.7486435,31.76039123535156,24.63941192626953,28.199901580810547,-0.7477481021933962,8,-0.6545793493831382,15,0.1548574032706277,65.43,0.20129830174747723,,325.04
709,1991,8,Orissa,Mayurbhanja,1228.0,1163.3984,-0.5596924,32.00555419921875,24.66738510131836,28.336469650268555,-0.3852515724123895,9,-0.5261105051116812,12,-0.3097148065412555,69.96,0.20833829660512207,1043.0,335.8
709,1992,8,Orissa,Mayurbhanja,1158.0,1111.5402,-0.76294863,31.98960876464844,24.13915061950684,28.06438064575196,-1.1074651932116604,9,-0.5261105051116812,13,-0.1548574032706277,71.26,0.21432223525519564,1228.0,332.49
709,1993,8,Orissa,Mayurbhanja,1327.0,1228.0682,-0.3062219,31.980653762817383,23.81039428710937,27.895523071289062,-1.5556686789383103,12,-0.14070397229731,9,-0.7742870163531388,72.69,0.22015931186964288,1158.0,330.17
709,1994,8,Orissa,Mayurbhanja,1320.0,1505.6123,0.78160006,31.745161056518555,24.12320327758789,27.934181213378903,-1.45305726756695,8,-0.6545793493831382,14,0.0,71.92,0.21099571671654052,1327.0,340.86
709,1995,8,Orissa,Mayurbhanja,1199.0,1125.266,-0.70915085,31.918954849243164,24.55986976623535,28.23941230773925,-0.6428736505179699,10,-0.3976416608402241,9,-0.7742870163531388,73.56,0.2128965038203288,1320.0,345.52
709,1996,8,Orissa,Mayurbhanja,821.0,1060.1011,-0.96456194,32.10529327392578,24.6098690032959,28.35758209228516,-0.3292122141890876,5,-1.0399858821975094,21,1.0840018228943942,73.53,0.21228743828853539,1199.0,346.37
709,1997,8,Orissa,Mayurbhanja,1375.0,1482.1729,0.6897301,32.35026168823242,24.37405204772949,28.36215591430664,-0.3170717876808799,19,0.7585779376028893,8,-0.9291444196237664,75.51,0.22137852179776601,821.0,341.09
709,1998,8,Orissa,Mayurbhanja,860.0,1018.0081,-1.1295434,32.51202392578125,25.54594993591309,29.028987884521484,1.4529193684453934,14,0.116233716245604,6,-1.238859226165022,72.69,0.21429203148492085,1375.0,339.21
709,1999,8,Orissa,Mayurbhanja,1156.0,1664.9487,1.4061122,31.61123847961425,24.854507446289062,28.232872009277344,-0.6602337516425033,8,-0.6545793493831382,7,-1.0840018228943942,85.4,0.25598753034980964,860.0,333.61
709,2000,8,Orissa,Mayurbhanja,1158.0,1101.1985,-0.8034824,32.41104507446289,24.86307144165039,28.63705825805664,0.4126093598488601,6,-0.9115170379260524,10,-0.619429613082511,79.35,0.23579579222631641,1156.0,336.52
709,2001,8,Orissa,Mayurbhanja,1535.0,1491.7211,0.72715396,31.690200805664062,24.93039321899414,28.3102970123291,-0.4547223532905193,0,-1.6823301035547946,13,-0.1548574032706277,78.77,0.2246527678749679,1158.0,350.63
709,2002,8,Orissa,Mayurbhanja,815.0,998.9321,-1.2043109,32.70431137084961,24.973594665527344,28.83895301818848,0.9485043916759296,27,1.7863286917745456,12,-0.3097148065412555,12.22,0.03901411148713364,1535.0,313.22
